title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Colour,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Product Dimensions,tech_Batteries,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Computer Memory Type,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Drive Interface,tech_Graphics Coprocessor,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Wireless Type,tech_Number of USB 3.0 Ports,tech_Number of HDMI Ports,tech_Voltage,tech_Wattage,tech_Operating System,tech_Average Battery Life (in hours),tech_Are Batteries Included,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Packer,info_Importer,info_Item Dimensions LxWxH,info_Net Quantity,info_Generic Name,tech_Resolution,tech_Memory Clock Speed,tech_Audio Details,tech_Speaker Description,tech_Number of USB 2.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Package Dimensions,tech_Average Battery Standby Life (in hours),tech_Hard Disk Rotational Speed,tech_Number of Lithium Metal Cells,tech_Lithium Battery Weight,tech_Rear Webcam Resolution,tech_Front Webcam Resolution
"(Refurbished) Dell Latitude 3400 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel UHD Graphics)","16,473",https://www.amazon.in/Refurbished-Dell-Latitude-Bluetooth-Graphics/dp/B0CK5TNS69/ref=sr_1_169?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-169&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,Dell,Dell,Dell Latitude 3400,,Laptop,,,14 Inches,1366 x 768,,1 Lithium Ion batteries required. (included),,Intel,Intel Core i5,1.6 GHz,1,8 GB,DDR4,,16 GB,256 GB,SSD,,,Intel,Integrated,Shared,,,"Bluetooth, Wi-Fi",,,,,,Windows,,Yes,55 Kilowatt Hours,3,"Laptop, Power Cord, Battery",,2 kg 670 g,B0CK5TNS69,"3.2
7 ratings
3.2 out of 5 stars","#4,953 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1 in Renewed Dell Latitude New Launch
#14 in Renewed Black Friday and Cyber Monday Sale
#152 in Traditional Laptops",30-Sep-23,,,,1.00 count,,1366 x 768 Pixels,,Headphones,,,,,,55.79 x 29.4 x 8.3 cm; 2.67 kg,,,,50 Grams,,
(Refurbished) Dell Latitude 7480 14in FHD Laptop PC - Intel Core i7-6600U 2.6GHz 16GB 512GB SSD Windows 10 Professional,"23,990",https://www.amazon.in/Dell-Latitude-7480-14in-Laptop/dp/B077T4MYJY/ref=sr_1_170?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-170&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,Dell,Dell Computers,Dell Latitude,Black,Laptop,0.8 Inches,8.7 Inches,14 Inches,1366 x 768 pixels,33.02 x 22.1 x 2.03 cm; 1.36 kg,1 Lithium Ion batteries required. (included),Latitude 7480,Intel,Core i7,2.6 GHz,2,16 GB,SDRAM,SDRAM,128 GB,512 GB,SSD,Solid State,Intel,Intel,Integrated,DDR4 SDRAM,512,Integrated,Bluetooth,802.11ac,3,1,240 Volts,65 Watts,Windows 10 Pro,6 Hours,Yes,60 Watt Hours,4,"In Dell boxes, with power cable",,1 kg 360 g,B077T4MYJY,"3.9
789 ratings
3.9 out of 5 stars","#6,052 in Computers & Accessories (See Top 100 in Computers & Accessories)
#11 in 4 star rated refurbished products
#196 in Traditional Laptops",11-Jan-20,,,33 x 22.1 x 2 Centimeters,1.0 count,laptop,2560_x_1440,2.6,Microphone-in headset combo connector,,,No Optical Drive,Corded Electric,PC,,,,,2.3 Grams,,
"(Refurbished) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM|512 GB SSD|14"" (35.6 cm) HD|Windows 11|WiFi|Bluetooth|Webcam|Intel HD Graphics)","16,395",https://www.amazon.in/Refurbished-Lenovo-ThinkPad-T470-Bluetooth/dp/B0DHLXSZMQ/ref=sr_1_171?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-171&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,Lenovo,Lenovo,Lenovo ThinkPad,black,Clamshell,,,14 Inches,1366 x 768 pixels,,1 Lithium Ion batteries required. (included),T470,Intel,Core i5,2.5 GHz,1,,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,Serial ATA,,Intel,Integrated,Shared,,,Bluetooth,,,1,,,Windows,,Yes,55 Watt Hours,3,"Laptop, Power Cord, Battery",,1 kg 700 g,B0DHLXSZMQ,"2.9
28 ratings
2.9 out of 5 stars","#10,877 in Computers & Accessories (See Top 100 in Computers & Accessories)
#351 in Traditional Laptops",20-Sep-24,,,,1.00 count,,1366 x 768 Pixels,,internal,,,,,,47.7 x 32.79 x 9.9 cm; 1.7 kg,,,,,,
"(Refurbished) HP EliteBook 840 G3 6th Gen Intel Core i7 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|14"" (35.6 cm) HD|Windows 11|MS Office|WiFi|Webcam|Intel Graphics)","18,499",https://www.amazon.in/Refurbished-HP-EliteBook-Windows-Graphics/dp/B0DRPD6XMC/ref=sr_1_172?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-172&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,HP,HP,HP EliteBook 840 G3,,,,,14 Inches,,,1 12V batteries required. (included),,Intel,Intel Core i7,2.5 GHz,1,,DDR4,,16 GB,,SSD,,,Intel,Integrated,Shared,,,,,,1,,,Windows,,Yes,55 Watt Hours,3,"Laptop, Power Cord, Battery",,1 kg 500 g,B0DRPD6XMC,,"#9,764 in Computers & Accessories (See Top 100 in Computers & Accessories)
#12 in Renewed New Arrivals Store
#16 in Refurbished Deals
#320 in Traditional Laptops",27-Dec-24,,,,1.00 count,,1366 x 768 Pixels,,,,,,,,45 x 35 x 15 cm; 1.5 kg,,,,,,
"AXL VayuBook Laptop 14.1 Inch FHD IPS Display (4GB Ram,128GB SSD) 1920 * 1080 Resolution | HD Gemini Lake N4020 | Windows 11 Home | UHD Graphics 600 (Cloud Silver)","12,990",https://www.amazon.in/AXL-VayuBook-Display-Resolution-Graphics/dp/B0CK5RCXPG/ref=sr_1_173?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-173&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,AXL,AXL World,Axl vayubook,Cloud Silver,Clamshell,39.5 Centimeters,8.1 Centimeters,14.01 Centimetres,1920 x 1080 pixel,39.5 x 8.1 x 39.5 cm; 100 kg,,SLVLAPAXL,Intel,Celeron N4020,1.1 GHz,1,4 GB,DDR4,,4 GB,128 GB,SSD,Solid State,Intel UHD Graphics 600,Intel,Intel UHD GRaphics 600,DDR DRAM,4 GB,Integrated,Wi-Fi,,1,1,,,Windows 11 Home,6 Hours,,,,"1 Laptop, 1 adapter",India,100 kg,B0CK5RCXPG,"3.3
305 ratings
3.3 out of 5 stars","#6,672 in Computers & Accessories (See Top 100 in Computers & Accessories)
#214 in Traditional Laptops",30-Sep-23,"168, D Block, Pocket D, Okhla Phase I, Okhla Industrial Estate, New Delhi, Delhi 110020",,39.5 x 8.1 x 39.5 Centimeters,1 Kilograms,"Gaming Laptop, Budget Laptop, Laptop with Long Battery Life , SSD Laptop , High-Performance Laptop , Laptop for Students",,,,,1,,,,,,,,,,
"HP Pavilion x360, 13th Gen Intel Core i5-1335U, 16GB DDR4, 1TB SSD, (Win 11, Office 21, Silver, 1.41kg),Touchscreen,14-inch(35.6cm) FHD Laptop, Intel Iris Xe graphics, 5MP camera, Backlit KB, ek1010TU","83,990",https://www.amazon.in/HP-Pavilion-i5-1335U-Graphics-14-ek1010TU/dp/B0BRT8BRKY/ref=sr_1_174?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-174&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,HP,HP,HP Laptop,Natural Silver With Offer,Netbook,17 Millimeters,21.6 Centimeters,35.6 Centimetres,1920 x 1080 pixel,32.5 x 21.6 x 1.7 cm; 1.41 kg,1 Lithium Ion batteries required. (included),14-ek1010TU,Intel,Core i5,4.6 GHz,1,16 GB,DDR4,,16 GB,1 TB,SSD,,Intel Iris Xe Graphics,Intel,Integrated,VRAM,,Integrated,"Bluetooth, Wi-Fi",,2,1,11.1 Volts,,Windows 11 Home,,Yes,43 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,1 kg 410 g,B0BRT8BRKY,"3.8
50 ratings
3.8 out of 5 stars","#5,613 in Computers & Accessories (See Top 100 in Computers & Accessories)
#179 in Traditional Laptops",06-Jan-23,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,32.5 x 21.6 x 1.7 Centimeters,1 Count,Laptop,1920 x 1080 Pixels,,Headphones,"Audio by B&O, Dual speakers",,,,,,,,,,5 MP,
"HP Laptop 14, Intel Core Ultra 7 155H, Built-in AI, 14-inch (35.6 cm), FHD, 16GB DDR5, 512GB SSD, Intel Arc Graphics, 1080p FHD Camera w/Privacy Shutter, Backlit KB (Win 11, Silver, 1.4 kg), gr1023TU","82,990",https://www.amazon.in/HP-14-inch-Graphics-Privacy-gr1023TU/dp/B0D8J85F5X/ref=sr_1_176?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-176&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,HP,HP,HP Laptop,Core Ultra 7,Laptop,,,39.6 Centimetres,1920 x 1080 pixel,,1 Lithium Polymer batteries required. (included),A4VJ1PA,Intel,Others,4.8 GHz,1,,DDR5,,16 GB,512 GB,SSD,,,Intel,Integrated,DDR5 SDRAM,,Integrated,"Bluetooth, Wi-Fi",,,,,,Windows 11 Home,8 Hours,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,1 kg 400 g,B0D8J85F5X,"4.0
5 ratings
4.0 out of 5 stars","#11,569 in Computers & Accessories (See Top 100 in Computers & Accessories)
#362 in Traditional Laptops",01-Jul-24,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,,1 Count,Laptop,,,Speakers,,,,,,44.8 x 30.2 x 7 cm; 1.4 kg,,,,,,
"ASUS TUF Gaming F15 - Intel Core i5-11260H 11th Gen, 15.6-inch (39.62 cm) FHD 144Hz, (8GB/512GB SSD/4GB NVIDIA RTX 2050/Win 11/MS Office/Backlit/Black/2.30 kg),FX506HF-HN077WS","49,899",https://www.amazon.in/ASUS-TUF-Gaming-F15-FX506HF-HN077WS/dp/B0D2HZ1XQW/ref=sr_1_177?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-177&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,ASUS,ASUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 kg 570 g,B0D2HZ1XQW,"3.9
5 ratings
3.9 out of 5 stars","#9,015 in Computers & Accessories (See Top 100 in Computers & Accessories)
#291 in Traditional Laptops",12-Apr-23,,,,1 Count,,,,,,,,,,42.7 x 31.1 x 10.2 cm; 3.57 kg,,,,,,
"Dell Inspiron 5430 Laptop, Intel Core i5-1335U Processor/ 8GB/ 512GB SSD/ 14.0"" (35.56cm) FHD+ Comfort View/Backlit KB/Windows 11+MSO'21/15 Month McAfee/Platinum Silver, Thunderbolt 4.0 Port,1.59kg","51,999",https://www.amazon.in/Dell-Inspiron-i5-1335U-Processor-Thunderbolt/dp/B0C2HVSHX6/ref=sr_1_178?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-178&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,Dell,Dell India Pvt Ltd,Inspiron,Platinum Silver,Laptop,43.5 Centimeters,41.8 Centimeters,14 Inches,1920 x 1080 pixel,7.2 x 41.8 x 43.5 cm; 1.59 kg,1 Lithium Ion batteries required. (included),Inspiron 5430,Intel,Core i5,3.4 GHz,1,8 GB,Lpddr 5,,16 GB,512 GB,SSD,USB 3.2,,Intel,Integrated,Shared,,Integrated,Bluetooth,Bluetooth,2,1,240 Volts,,Windows 11 Home,10 Hours,Yes,54 Watt Hours,4,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,1 kg 590 g,B0C2HVSHX6,"4.0
85 ratings
4.0 out of 5 stars","#8,173 in Computers & Accessories (See Top 100 in Computers & Accessories)
#256 in Traditional Laptops",14-Apr-23,Dell India Pvt Ltd,Dell India Pvt Ltd,7.2 x 41.8 x 43.5 Centimeters,1 Count,Laptop,1920 x 1080,,Speakers,,,,Battery Powered,,,,,,,0.92 MP,
"(Refurbished) HP EliteBook 820 G4 7th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM|512 GB SSD|12.5"" (31.8 cm) HD|Windows 11|MS Office|WiFi|Webcam|Intel HD Graphics)","18,450",https://www.amazon.in/Refurbished-HP-EliteBook-Windows-Graphics/dp/B0DKT47GT4/ref=sr_1_179?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-179&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,HP,HP,HP EliteBook 820 G4,,Clamshell,,,12.5 Inches,1366 x 768 pixels,,1 Lithium Ion batteries required. (included),,Intel,Intel Core i5,2.6 GHz,1,,DDR4,DDR4 SDRAM,16 GB,512 GB,SSD,,,Intel,Integrated,Shared,,,,,,,,,Windows,,Yes,55 Watt Hours,1,"Laptop, Power Cord, Battery",,1 kg 500 g,B0DKT47GT4,"3.9
94 ratings
3.9 out of 5 stars","#12,959 in Computers & Accessories (See Top 100 in Computers & Accessories)
#8 in Mega Offers on Renewed products
#28 in Best Offers from Renewed
#39 in Renewed Store.",24-Oct-24,,,,1.00 count,,1366 x 768 Pixels,,,,,,,,51.2 x 33.8 x 9.8 cm; 1.5 kg,,,,,,
"Dell (Refurbished) Latitude 3400 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel UHD Graphics)","18,999",https://www.amazon.in/Dell-Refurbished-Latitude-Bluetooth-Graphics/dp/B0CK5TWRPZ/ref=sr_1_180?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-180&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,Dell,Dell,Dell Latitude 3400,black,Laptop,,,14 Inches,1366 x 768,,1 Lithium Ion batteries required. (included),Dell Latitude 3400,Intel,Intel Core i5,1.6 GHz,1,16 GB,DDR4,,16 GB,,SSD,,Intel UHD Graphics 620,Intel,Integrated,Shared,16 GB,,"Bluetooth, Wi-Fi",,,,28 Volts,,Windows,,Yes,55 Kilowatt Hours,3,"Laptop, Power Cord, Battery",,3 kg,B0CK5TWRPZ,"3.9
44 ratings
3.9 out of 5 stars","#12,379 in Computers & Accessories (See Top 100 in Computers & Accessories)
#2 in Renewed Dell Latitude New Launch
#2 in Dhanteras with Renewed
#21 in Top Rated Renewed Products",30-Sep-23,,,,1.00 count,,1366 x 768 Pixels,,Headphones,,,,,,48.7 x 30.9 x 6.4 cm; 3 kg,,,,50 Grams,,
"Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG","42,990",https://www.amazon.in/Acer-i5-1235U-Windows-Graphics-AL15-52/dp/B0CLTW4D7T/ref=sr_1_181?dib=eyJ2IjoiMSJ9.P74U7EcdZMTcWzppBz_Mn6Z3T69ZfpEAN-2rSYtmvCOoaQn-S5F1kNS8PDwmiAE-Y8wL9VlE8J76jQz1ZmpTd3w5nFvUz679-LFrOTvzgo-D7UKZYUqg4xK_Lezg_n62xpD9S6wXFuwGoICAhgE8zAxaBEKE63VxEfR1TpOuPDnLe8lE-AEvDZGT2kIK9n7RzNhznkuJW3V4It9A5fAmVE4jnwhsTA7qMpRI3ZTzz_kSaRjPwwsmekFhT1KdXob95owU_6c0C97C_d_kMr6cR5UUPiqffW3BWM4gk3YDZhOOE8a947j_YHB_P_WUpTgRgXqeVArifC-AKZDSvmzFiKMY1jwhBDaM-itwsEP77sg.uNxRu3A03YHtSv2ZD-jBJEAHxJx9riM9ul7rvF1zVZY&dib_tag=se&qid=1737553931&s=computers&sr=1-181&xpid=Fh4IXciGGCWbo,22-01-2025 19:30,Acer,Acer,Aspire Lite,Steel Gray,Laptop,48.1 Centimeters,9.5 Centimeters,15.6 Inches,1920 x 1080 pixels,48.1 x 9.5 x 48.1 cm; 1.6 kg,1 Lithium Ion batteries required. (included),AL15-52,Intel,Core i5-1235U,4.4 GHz,1,16 GB,DDR4,DDR4 SDRAM,32 GB,,SSD,Solid State,Intel Iris Xe Graphics,Intel,Integrated,DDR4 SDRAM,,Integrated,Wi-Fi,,2,1,19 Volts,45 Watts,Windows 11 Home,,Yes,36 Watt Hours,3,"1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",China,1 kg 600 g,B0CLTW4D7T,"3.8
601 ratings
3.8 out of 5 stars","#7,058 in Computers & Accessories (See Top 100 in Computers & Accessories)
#223 in Traditional Laptops",14-Oct-23,"ACER INDIA PRIVATE LIMITED, RS No.38/2, Sedarpet Village, Villanur Commune, Poducherry - 605111.","ACER INDIA PRIVATE LIMITED Embassy Heights, 6th Floor, No. 13, Magrath Road, Next to HOSMAT Hospital, Bangalore, INDIA – 560025",48.1 x 9.5 x 48.1 Centimeters,1 Count,Laptop,1920 x 1080 Pixels,,,,2,,,,,,,3,0.5 Grams,,
