title,price,url,scrape_date,tech_Brand,tech_Manufacturer,tech_Series,tech_Form Factor,tech_Item Height,tech_Item Width,tech_Standing screen display size,tech_Screen Resolution,tech_Resolution,tech_Product Dimensions,tech_Item model number,tech_Processor Brand,tech_Processor Type,tech_Processor Speed,tech_Processor Count,tech_RAM Size,tech_Memory Technology,tech_Maximum Memory Supported,tech_Hard Drive Size,tech_Hard Disk Description,tech_Hard Disk Rotational Speed,tech_Audio Details,tech_Graphics Chipset Brand,tech_Graphics Card Description,tech_Graphics RAM Type,tech_Graphics Card Ram Size,tech_Graphics Card Interface,tech_Connectivity Type,tech_Number of USB 2.0 Ports,tech_Number of USB 3.0 Ports,tech_Optical Drive Type,tech_Power Source,tech_Hardware Platform,tech_Operating System,tech_Are Batteries Included,tech_Included Components,tech_Country of Origin,tech_Item Weight,info_ASIN,info_Customer Reviews,info_Best Sellers Rank,info_Date First Available,info_Item Dimensions LxWxH,info_Net Quantity,tech_Colour,tech_Package Dimensions,tech_Batteries,tech_Number of HDMI Ports,tech_Lithium Battery Energy Content,tech_Number of Lithium Ion Cells,info_Packer,info_Importer,info_Generic Name,tech_Graphics Coprocessor,tech_Voltage,tech_Wattage,tech_Average Battery Life (in hours),tech_Computer Memory Type,tech_Memory Clock Speed,tech_Hard Drive Interface,tech_Wireless Type,tech_Lithium Battery Weight,tech_Speaker Description,tech_Number of Ethernet Ports,tech_Rear Webcam Resolution,tech_Average Battery Standby Life (in hours),tech_Notebook Display Technology
"ROG Zephyrus G16, 16 ""(40.64cm) 2.5K OLED ROG Nebula Display 240Hz, Ultra 7 155H, Gaming Laptop (16GB LPDDRX/1TB SSD/NVIDIA GeForce RTX 4060 /Win11/Office 2021/Eclipse Grey/1.85 Kg ),GU605MV-CO711WS","1,76,990",https://www.amazon.in/ASUS-Zephyrus-40-64Cm-Display-Gu605Mv-Co711Ws/dp/B09T9CQ5DR/ref=sr_1_890?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-890&xpid=l6aOfYazqNBF_,2025-01-23 20:27:19,ASUS,ASUS,ROG Zephyrus G16,Ultra-Portable,56.7 Centimeters,34.8 Centimeters,16 Inches,2560 x 1600 pixels,2560 x 1600,9.8 x 34.8 x 56.7 cm; 4.12 kg,GU605MV-CO711WS,Intel,Core i7,1.4 GHz,16,16,Lpddr 5,16 GB,1 TB,SSD,,Headphones,NVIDIA,Dedicated,GDDR6,8 GB,Integrated,Bluetooth,,3,No Optical Storage,,,Windows 11 Home,Yes,"Laptop, Charging Adapter & User Manual",,4 kg 120 g,B09T9CQ5DR,"3.5
3 ratings
3.5 out of 5 stars","#43,225 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,258 in Traditional Laptops",19 April 2024,9.8 x 34.8 x 56.7 Centimeters,1 Count,Eclipse Gray,,1 Lithium Polymer batteries required. (included),1,,4,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai 400053, India",Gaming Laptop,NVIDIA GeForce RTX 4060,20 Volts,180 Watts,,SDRAM,7467 MHz,PCIE x 4,802.11ax,,,,,,
"(Refurbished) HP Chromebook Pro 10th Gen Intel Core i5 14"" (35.6 cm) FHD Touchscreen Thin & Light Laptop (8 GB DDR4 RAM, 64GB eMMC + 32GB MicroSD Card, Chrome OS, UHD Graphics, WiFi, BT, Webcam)","16,499",https://www.amazon.in/Refurbished-HP-Chromebook-Touchscreen-Graphics/dp/B0CD2G87SH/ref=sr_1_891?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-891&xpid=l6aOfYazqNBF_,2025-01-23 20:27:19,HP,HP,HP Chrome,"Laptop, Chromebook",,,14 Inches,1920 x 1080 pixel,1920 x 1080 Pixels,,HP Chrome,Intel,Intel Core i5,1.7 GHz,1,8 GB,DDR4,8 GB,,SSD,5400 RPM,Headphones,Intel,Integrated,Shared,8 GB,Integrated,"Bluetooth, Wi-Fi",,2,,ac,,Chrome OS,Yes,"Laptop, Power Cord, Battery",India,1 kg 700 g,B0CD2G87SH,"3.1
34 ratings
3.1 out of 5 stars","#47,877 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,414 in Traditional Laptops",28 July 2023,,1.00 count,silver,48.6 x 30.7 x 6.6 cm; 1.7 kg,1 Lithium Ion batteries required. (included),,54 Watt Hours,4,,,laptop,,,,,,,,,50 Grams,,,,,
"(Refurbished) Infinix INBook X2 Plus Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop (15.6 Inch, Blue, 1.58 Kg)","27,998",https://www.amazon.in/Refurbished-Infinix-INBook-Plus-Core/dp/B0DQQ1X1KW/ref=sr_1_892?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-892&xpid=l6aOfYazqNBF_,2025-01-23 20:27:19,Infinix,INFINIX,XL25,Laptop,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,XL25-cr,Intel,Intel Core i5,4.5 GHz,4,8 GB,LPDDR4,16 GB,512 GB,SSD,,"Headphone Jack, Speakers",Intel,Integrated,Shared,,,Wi-Fi,,,,Battery Powered,Windows,Windows 11 Home,Yes,"LAPTOP, POWER ADAPTER, USER GUIDE",,1 kg 580 g,B0DQQ1X1KW,,"#50,283 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,484 in Traditional Laptops",17 December 2024,,1.00 count,Blue,49.5 x 30.6 x 6.1 cm; 1.58 kg,2 Lithium Ion batteries required. (included),1,4.9 Watt Hours,4,,,Business Laptop,Intel Integrated Iris Xe,3.7 Volts,65 Watts,10 Hours,DDR4 SDRAM,4.5 GHz,Solid State,,0.05 Grams,,,,,
"Infinix ZEROBOOK 13 Intel Intel Core i9 13th Gen 13900H - (32 GB/1 TB SSD/Windows 11 Home) ZL513 Thin and Light Laptop (15.6 inch, Grey with Meteorite Phase Design, 1.80 Kg, with MS Office)","71,990",https://www.amazon.in/Infinix-ZEROBOOK-Intel-Core-13900H/dp/B0CR6QB8M7/ref=sr_1_894?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-894&xpid=l6aOfYazqNBF_,2025-01-23 20:27:19,Infinix,INFINIX,ZL513,Laptop,,,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,,ZL513,Intel,Intel Core i9,5.4 GHz,14,32 GB,LPDDR5X,32 GB,1 TB,SSD,,Speakers,Intel,Integrated,Shared,,Integrated,Wi-Fi,,2,,,Windows,Windows 11 Home,,"LAPTOP, POWER ADAPTER, USER GUIDE",China,80 kg,B0CR6QB8M7,"3.2
9 ratings
3.2 out of 5 stars","#47,751 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,411 in Traditional Laptops",29 December 2023,,1.00 count,GREY,49.1 x 33.2 x 11.7 cm; 80 kg,1 Lithium Polymer batteries required.,1,,3,"No.3188-1 Yungu Road (Export Processing Zone),Hefei Economic & Technological Development area AnHui Province China",,Business Laptop,Intel Integrated 96EU Iris Xe,230 Volts,,13 Hours,,5.4 GHz,Solid State,,,Built-in Speakers,,,,
"(Refurbished) Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 4050 Graphics 6GB VRAM, 144Hz Display (16GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51","62,041",https://www.amazon.in/Refurbished-Acer-i5-13420H-Graphics-ANV15-51/dp/B0CK3YB48V/ref=sr_1_895?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-895&xpid=l6aOfYazqNBF_,2025-01-23 20:27:19,Acer,Acer,ANV15-51,Laptop,,,15.6 Inches,1920 x 1080 pixel,,,,Intel,Core i5,3.4 GHz,1,16 GB,DDR5,32 GB,,SSD,,,NVIDIA,Dedicated,GDDR6,6 GB,,Wi-Fi,,,,,,Windows 11 Home,Yes,"Battery, Adaptor, Laptop",,2 kg 100 g,B0CK3YB48V,"4.2
14 ratings
4.2 out of 5 stars","#39,473 in Computers & Accessories (See Top 100 in Computers & Accessories)
#65 in Renewed - Regional New Year
#120 in 4 star rated refurbished products
#1,130 in Traditional Laptops",28 September 2023,,1 Piece,Black,50.29 x 31.2 x 6.5 cm; 2.1 kg,,,57 Watt Hours,4,,,Laptops,NVIDIA GeForce RTX 4050,240 Volts,,5 Hours,,,,,,,,,,
HP ELITEBOOK 640 14 inch i7-1365U Vpro/16GB/512GB SSD/FHD/Spill-Resistant kbd./No FPR/Win11 Pro/5 Yr Onsite(A14WQPA),"99,350",https://www.amazon.in/HP-ELITEBOOK-640-i7-1365U-Spill-Resistant/dp/B0DP9SYLRB/ref=sr_1_896?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-896&xpid=l6aOfYazqNBF_,2025-01-23 20:27:19,HP,HP india,HP ELITEBOOK 640 14 inch i7-1365U,Clamshell,,,14,,,,HP ELITEBOOK 640,Intel,Intel Core i7,4.8 GHz,1,,DDR4,16 GB,16 GB,SSD,,"Speakers, Headphones",Intel,Integrated,DDR4 SDRAM,,Integrated,,2,3,,,,Windows 11 Pro,,Laptop,China,1 kg 410 g,B0DP9SYLRB,,"#43,927 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,282 in Traditional Laptops",29 November 2024,,,,48.6 x 31.1 x 6.9 cm; 1.41 kg,,1,,,"Microworld Infosol Pvt. Ltd. , Toll free number - 9560888401",HP india,Laptop,,,,,DDR4 SDRAM,,,,,"2 Integrated stereo speakers, 2W/4ohm per speaker",1,,,
"(Refurbished) IdeaPad Slim 3 Intel Core i3 12th Gen 15.6-inch (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Arctic Grey/1.63Kg), 82RK006DIN","27,191",https://www.amazon.in/Renewed-Lenovo-IdeaPad-Warranty-82RK006DIN/dp/B0BH339MRV/ref=sr_1_897?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-897&xpid=l6aOfYazqNBF_,2025-01-23 20:27:19,Lenovo,intel,IdeaPad 3 15IAU7,Thin & Light,20 Millimeters,23.7 Centimeters,15.6 Inches,1921 x 1080 pixel,1920X1080 Pixels,35.9 x 23.7 x 2 cm; 1.63 kg,82RK006DIN-cr,Intel,Core i3,4.4 GHz,6,8 GB,DDR4,16 GB,512 GB,SSD,,Speakers,Intel,Integrated,Shared,,,"Bluetooth, Wi-Fi",1,,,Battery Powered,,Windows 11 Home,Yes,"Laptop, User Manual, Power Adapter",,1 kg 630 g,B0BH339MRV,"2.7
5 ratings
2.7 out of 5 stars","#50,324 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,486 in Traditional Laptops",2 October 2022,35.9 x 23.7 x 2 Centimeters,1 Piece,Arctic Grey,,,1,,3,,,laptop,Intel UHD Graphics,8.5 Volts,,10 Hours,DDR4 SDRAM,,,Bluetooth,,,,0.92 MP,,
"FUTOPIA Ultimus Intel Dual Core ~2.8GHz (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3INC43BN-MB Thin and Light Laptop (14.1 inch, Matt Black, 1.2 g)","11,990",https://www.amazon.in/FUTOPIA-All-New-ULTIMUS-14-1-inch-NU14U3INC43BN-MB/dp/B0C46MFVCP/ref=sr_1_898?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-898&xpid=l6aOfYazqNBF_,2025-01-23 20:27:19,FUTOPIA,Futopia Global Pvt Ltd,NU14U3INC43BN,Laptop,2.2 Centimeters,21.6 Centimeters,14.1 Inches,1366 x 768,1280 x 720,32.7 x 21.6 x 2.2 cm; 1.2 kg,NU14U3INC43BN,Intel,Celeron N4020,1.1 GHz,2,4,DDR4,8 GB,,SSD,,Headphones,Intel,Integrated,DDR4 SDRAM,4 GB,Integrated,"Bluetooth, Wi-Fi",1,1,,,,Windows 11 Home,,"Laptop, User Manual, Warranty Card, Adapter",India,1 kg 200 g,B0C46MFVCP,"2.2
27 ratings
2.2 out of 5 stars","#43,541 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,269 in Traditional Laptops",3 May 2023,32.7 x 21.6 x 2.2 Centimeters,1 Count,Black,,1 Lithium Ion batteries required.,,,1,Futopia Global Pvt Ltd,Futopia Global Pvt Ltd,ULTIMUS LAPTOP,Intel UHD Graphics 600,7.4 Volts,,,,,,,,,,,,
"Dell 14 Laptop, Intel Core i5-1235U Processor/ 8GB/ 512GB SSD/ 14.0""(35.56cm) FHD with Comfortview/Windows 11 + MSO'21/ McAfee 15 Months/Spill-Resistant Keyboard/Black Color/ 1.48kg","48,560",https://www.amazon.in/Dell-14-Rheinland-Certified-Comfortview/dp/B0BQJ4JSDN/ref=sr_1_899?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-899&xpid=l6aOfYazqNBF_,2025-01-23 20:27:19,Dell,Dell India Pvt Ltd,Vostro,laptop,23 Millimeters,32.3 Centimeters,14 Inches,1920*1080,,22 x 32.3 x 2.3 cm; 1.48 kg,Vostro 14,Intel,Core i5,3.3 GHz,1,8 GB,DDR4,16 GB,512 GB,SSD,,Speakers,Intel,Integrated,Shared,2 GB,Integrated,"Bluetooth, Wi-Fi",1,2,No Optical Storage Device,Battery Powered,,Windows 11 Home,Yes,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,1 kg 480 g,B0BQJ4JSDN,"3.0
8 ratings
3.0 out of 5 stars","#40,420 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,162 in Traditional Laptops",19 December 2022,22 x 32.3 x 2.3 Centimeters,1 Count,Carbon Black,,1 Lithium Ion batteries required. (included),,2.6 Watt Hours,3,Dell India Pvt Ltd,Dell India Pvt Ltd,Laptop,INTEGRATED,240 Volts,,10 Hours,,2666 MHz,,,,,,0.92 MP,10 Hours,
"(Renewed) Dell Intel Core i5 6th Gen 14-Inch(35.56 cms) 1366 x 768 HD Laptop (16GB RAM/512GB SSD/Windows 10 Pro/MS Office/ Intel HD Integrated Graphics/1.5Kg,Black) Latitude E5480","21,419",https://www.amazon.in/Refurbished-Dell-Integrated-Graphics-E5480/dp/B09M42YX2Y/ref=sr_1_900?dib=eyJ2IjoiMSJ9.tweB2IqTxut9DP16QbIe2gieQarIOh5pqiZEO0QFOLJOVvG4IA9G-cqclgPUO2sk1UCe1bfTBJykSvHSPpy5zqWFO7kMe3NUvj24KT5NtVdn4O_9n-SBlU5VvCpllY4ufW2Q7VIzgZy3VYlGyCzbw-9QqSoasfb4qZyq5HjjKuTZmX3FOHWCvzdhw6dvJ_jVcD5ARAujw9kNU0D5UhMFR2VZjEtubC5AZnd3Ac6wWvxIhxcQyBp2oQ1OeAhAujHbaMWOxUBJxvyjdn0SXnpLsQ6W4Hn3uAMGjEJQ2Pako2tOQZGUQWVfjWrBVwzY5eG36z5kHKc8YcTwnTiVi9W7ZgdJ8TFniMG1DZzTN_MtE2s.KW7khamaKcFuWE2Sw9HWQzvXU-VmEWPWfb1fHxiGl6Y&dib_tag=se&qid=1737643830&s=computers&sr=1-900&xpid=l6aOfYazqNBF_,2025-01-23 20:27:19,Dell,Dell,Latitude-cr,Laptop,0.9 Inches,13.2 Inches,14 Inches,1366 x 768,HD (1366 X 768) MP,23.11 x 33.53 x 2.29 cm; 1.5 kg,E5480,Intel,Core i5-6440HQ,2.5 GHz,2,16 GB,DDR4,16 GB,512 GB,SSD,5400 RPM,Headphones,Intel,Integrated,DDR4 SDRAM,16 GB,Integrated,Wi-Fi,1,2,No Optical Device,,Windows,Windows 10 Pro,Yes,laptop.adaptor.powercard,,1 kg 500 g,B09M42YX2Y,"3.1
47 ratings
3.1 out of 5 stars","#39,832 in Computers & Accessories (See Top 100 in Computers & Accessories)
#1,145 in Traditional Laptops",17 November 2021,23.1 x 33.5 x 2.3 Centimeters,1.00 count,Black,,1 Lithium Ion batteries required. (included),1,55 Watt Hours,4,,,Business Laptop,intel,,62.00,3 Hours,DDR4 SDRAM,,Solid State,,50 Grams,,1,,,LED
